Track,Section,CreativeAnchorCheck,FusionIntegrityCheck,HookMemorability,TransitionIntent,LowEndTranslation,UpperMidFatigueControl,VersionControl,SequenceFlow,PrestigeGalaGate,WorldDanceGate,ReleaseDecision,Status,Notes
Kyiv Arrival Overture,Full,Pass,Pass,Pass,Pass,Pending,Pending,Pass,Pending,Pending,Pending,Hold,In Progress,
Rumba of the Dnipro,Full,Pass,Pass,Pass,Pass,Pending,Pending,Pass,Pending,Pending,Pending,Hold,In Progress,
Lviv Tango de Cristal,Full,Pass,Pass,Pass,Pass,Pending,Pending,Pass,Pending,Pending,Pending,Hold,In Progress,
Carpathian Silk Waltz,Full,Pass,Pass,Pass,Pass,Pending,Pending,Pass,Pending,Pending,Pending,Hold,In Progress,
Odessa Night Cha-Cha,Full,Pass,Pass,Pass,Pass,Pending,Pending,Pass,Pending,Pending,Pending,Hold,In Progress,
Black-Tie Hopak House,Full,Pass,Pass,Pass,Pass,Pending,Pending,Pass,Pending,Pending,Pending,Hold,In Progress,
Arkan Midnight Circuit,Full,Pass,Pass,Pass,Pass,Pending,Pending,Pass,Pending,Pending,Pending,Hold,In Progress,
Kyiv Skyline Pop Noire,Full,Pass,Pass,Pass,Pass,Pending,Pending,Pass,Pending,Pending,Pending,Hold,In Progress,
World Suite I: Mediterranean Hand-Off,Full,Pass,Pass,Pass,Pass,Pending,Pending,Pass,Pending,Pending,Pending,Hold,In Progress,
World Suite II: Afro Pulse Accord,Full,Pass,Pass,Pass,Pass,Pending,Pending,Pass,Pending,Pending,Pending,Hold,In Progress,
World Suite III: East-Asia Crystal Lines,Full,Pass,Pass,Pass,Pass,Pending,Pending,Pass,Pending,Pending,Pending,Hold,In Progress,
Finale: Memory on the River,Full,Pass,Pass,Pass,Pass,Pending,Pending,Pass,Pending,Pending,Pending,Hold,In Progress,
